Company,CompanyRating,CompanyReviewCount,Currency,JobLocation,JobPosted,JobTitle,MaxSalary,MinSalary,SalaryType,WorkModel
Indeed,4.2,1618,,"Dublin, County Dublin",30+ days ago,Product Scientist II,108000,84000,yearly,Hybrid work
Great Stay Management Ltd,0,0,,"Dublin, County Dublin",24 days ago,Digital Transformation - Software Solution,36000,34000,yearly,Not Disclosed
JobContax,4.7,6,,"Swords, County Dublin",30+ days ago,Structural Engineer,55000,35000,yearly,Not Disclosed
Generation Success,0,0,,"Dublin, County Dublin",4 days ago,Graduate Python Developer – 2025 Programme,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed
Susquehanna International Group,3.8,69,,"Dublin, County Dublin",30+ days ago,Software Development Internship: Summer 2025,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed
Indeed,4.2,1618,,"Dublin, County Dublin",21 days ago,Senior Data Strategist,118000,82000,yearly,Not Disclosed
Mastercard,4,795,,"Dublin, County Dublin",30+ days ago,"Software Engineer, Launch Program 2025 - Dublin, Ireland",Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed
Microsoft,4.2,8633,,"Dublin, County Dublin",Just posted,"Internship Opportunities: Financial Analyst, Finance Internship Rotation Program",Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed
Amazon Data Services Ireland Limited - A65,3.5,51341,,"Dublin, County Dublin",24 days ago,Ireland 2025 Financial Analyst Intern,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed
Mako,0,0,,"Dublin, County Dublin",14 days ago,Equity Analyst,Not Disclosed,Not Disclosed,Not Disclosed,Hybrid work
RUE GILT GROUPE,3.2,305,,"Dublin, County Dublin",30+ days ago,Software Engineer - Back End,80000,70000,yearly,Not Disclosed
Xtremepush,0,0,,"Dublin, County Dublin",30+ days ago,Python Developer,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed
Kroll,3.4,227,,"Dublin, County Dublin",30+ days ago,"Analyst, Portfolio Valuation",Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed
Propylon,0,0,,"Rathfarnham, County Dublin",30+ days ago,Python Developer,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed
Susquehanna International Group,3.8,69,,"Dublin, County Dublin",30+ days ago,Software Developer Graduate: 2025,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed
Susquehanna International Group,3.8,69,,"Dublin, County Dublin",30+ days ago,Trading Operations Analyst Internship: Summer 2025,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed
Grant Thornton,3.7,1895,,"Dublin, County Dublin",30+ days ago,Full Stack Developer,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed
Google,4.3,5764,,"Dublin, County Dublin",16 days ago,"Software Engineer II, Rollouts Production Health",Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed
SCOR,0,0,,"Dublin, County Dublin",30+ days ago,IT Systems Engineer (Java & Python),Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed
Accenture,4,27297,,"Dublin, County Dublin",30+ days ago,Machine Learning Engineer,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed
Google,4.3,5764,,"Dublin, County Dublin",30+ days ago,"Trust and Safety Policy Operations Analyst, Google Play",Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed
Amazon Development Centre Ireland Limited - D94,3.5,51341,,"Dublin, County Dublin",30+ days ago,2025 Software Dev Engineer Intern - Ireland,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed
Ericsson,4.1,7155,,"Dublin, County Dublin",8 days ago,Cloud Integration Engineer Intern,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed
Intesa Sanpaolo Group,3.8,315,,"Dublin, County Dublin",30+ days ago,FAMI - Global Equity Portfolio Analyst,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed
Mastercard,4,795,,"Dublin, County Dublin",30+ days ago,Senior Software Engineer,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed
Workday,3.9,202,,"Dublin, County Dublin",10 days ago,Software Development Engineer - HiredScore,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed
Enel,0,0,,"Dublin, County Dublin",24 days ago,Global Process Automation Engineer,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed
Susquehanna International Group,3.8,69,,"Dublin, County Dublin",30+ days ago,Quantitative Systematic Trader - Graduate: 2025,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed
Susquehanna International Group,3.8,69,,"Dublin, County Dublin",30+ days ago,Accounting + Tax Analyst Graduate: 2025,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed
Susquehanna International Group,3.8,69,,"Dublin, County Dublin",30+ days ago,Operations Technology Analyst 2025,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed
Hertz,3.2,8659,,County Dublin,30+ days ago,Software Engineer– Backend Telematics & Connectivity,Not Disclosed,Not Disclosed,Not Disclosed,Hybrid work
Susquehanna International Group,3.8,69,,"Dublin, County Dublin",30+ days ago,Accounting + Tax Analyst Graduate: 2025,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed
Amazon Development Centre Ireland Limited - D94,3.5,51341,,"Dublin, County Dublin",30+ days ago,2025 Software Dev Engineer Intern - Ireland,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed
Workday,3.9,202,,"Dublin, County Dublin",17 days ago,Junior Data Informatics Analyst – Workday Core Applications,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed
Workday,3.9,202,,"Dublin, County Dublin",10 days ago,Software Development Engineer - HiredScore,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed
National Institute for Bioprocessing Research and Training (NIBRT),3.5,2,,"Dublin, County Dublin",30+ days ago,"Research Scientist (Statistician, Multivariate Analysis and Time-Series Modelling)",Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed
Adswizz,0,0,,"Dublin, County Dublin",30+ days ago,Senior Analyst - Content,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed
Susquehanna International Group,3.8,69,,"Dublin, County Dublin",30+ days ago,Quantitative Systematic Trading Internship: Summer 2025,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed
Meta,4.1,756,,"Dublin, County Dublin",30+ days ago,Network Production Engineer (University Grad),Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed
Sirius XM,0,0,,"Dublin, County Dublin",30+ days ago,Senior Analyst - Content,Not Disclosed,Not Disclosed,Not Disclosed,Remote
Enel,0,0,,"Dublin, County Dublin",24 days ago,Global Process Automation Engineer,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed
A & L Goodbody,4.1,12,,"Dublin, County Dublin",15 days ago,eDiscovery Technology Specialist,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed
Microsoft,4.2,8633,,"Dublin, County Dublin",30+ days ago,Senior Software Engineer - Microsoft 365,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed
Grifols Worldwide Op Ltd,3,3528,,"Dublin, County Dublin",30+ days ago,Statistical Programmer,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed
Vanguard Group,0,0,,"Dublin, County Dublin",2 days ago,"Business Technology Analyst, Specialist",Not Disclosed,Not Disclosed,Not Disclosed,Hybrid work
Meta,4.1,756,,"Dublin, County Dublin",23 days ago,Production Systems Engineer Intern,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed
Expleo,3,173,,"Dublin, County Dublin",1 day ago,Software Development Engineer in Test (SDET),Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed
Google,4.3,5764,,"Dublin, County Dublin",4 days ago,"Senior Software Engineer, Endpoint Security Agents",Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed
Ookla,0,0,,"Dublin, County Dublin",15 days ago,Network Data Analyst,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed
Amazon Web Services EMEA SARL (Irish Branch),3.5,51341,,"Dublin, County Dublin",4 days ago,"Network Development Engineer Intern, AWS",Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed
Laserfiche,0,0,,"Dublin, County Dublin",30+ days ago,Support Engineer,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed
Johnson Controls,3.6,8496,,"Dublin, County Dublin",Just posted,Graduate Production Planner,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed
U.S. Bank National Association,3.6,11341,,"Dublin, County Dublin",Just posted,C++ Developer (3 year FTC),Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed
Google,4.3,5764,,"Dublin, County Dublin",1 day ago,"Software Engineering Manager, Google Cloud",Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed
Expel,0,0,,"Dublin, County Dublin",30+ days ago,Detection & Response Engineer,100.6,69.4,daily,Not Disclosed
Google,4.3,5764,,"Dublin, County Dublin",8 days ago,"Machine Learning Solutions Engineer, Google Cloud Learning Services",Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed
Slalom Consulting,0,0,,"Dublin, County Dublin",Just posted,Senior Data Analyst,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed
Optum,3.3,6596,,"Dublin, County Dublin",2 days ago,Senior Data Analyst,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed
Expel,0,0,,"Dublin, County Dublin",30+ days ago,Senior Detection & Response Engineer,124.3,85.7,daily,Not Disclosed
PwC,3.9,9836,,"Dublin, County Dublin",5 days ago,IT Technology Manager,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed
DAA,3.2,50,,"Dublin, County Dublin",8 days ago,AOP Data Analyst (12 Month FTC),Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed
Microsoft,4.2,8633,,"Dublin, County Dublin",30+ days ago,Senior Software Engineer - Microsoft 365,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed
Google,4.3,5764,,"Dublin, County Dublin",8 days ago,"Machine Learning Solutions Engineer, Google Cloud Learning Services",Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed
